,Model,Managment,Discount,Metric,Result
1,DT,Comm-Ind,DR1,G,0.24391544678690033
2,DT,Comm-Ind,DR1,times,0.24391544678690033
3,DT,Comm-Ind,DR1,salvage,-532.805053319103
4,DT,Comm-Ind,DR1,no_salvage,-484.0924245251097
5,DT,Comm-Ind,DR1,optimal,-534.279263678383
0,DT,Comm-Ind,DR3,F,-2.089176261559066
1,DT,Comm-Ind,DR3,G,0.40013571597018366
2,DT,Comm-Ind,DR3,times,0.40013571597018366
3,DT,Comm-Ind,DR3,salvage,-465.39167034676495
4,DT,Comm-Ind,DR3,no_salvage,-431.35423468745313
5,DT,Comm-Ind,DR3,optimal,-467.830838699558
0,DT,Comm-Ind,DR5,F,-1.470807515151415
1,DT,Comm-Ind,DR5,G,0.5805445974022945
2,DT,Comm-Ind,DR5,times,0.5805445974022945
3,DT,Comm-Ind,DR5,salvage,-426.73602148578624
4,DT,Comm-Ind,DR5,no_salvage,-403.0737022492998
5,DT,Comm-Ind,DR5,optimal,-430.7087994360534
0,DT,HighGrade,NoDR,F,-1.935126346448091
1,DT,HighGrade,NoDR,G,0.26364353197571294
2,DT,HighGrade,NoDR,times,0.26364353197571294
3,DT,HighGrade,NoDR,salvage,-641.807345216278
4,DT,HighGrade,NoDR,no_salvage,-583.9122529264706
5,DT,HighGrade,NoDR,optimal,-642.345594858925
0,DT,HighGrade,DR1,F,-1.513399729433332
1,DT,HighGrade,DR1,G,0.4439952142152917
2,DT,HighGrade,DR1,times,0.4439952142152917
3,DT,HighGrade,DR1,salvage,-586.8845263429835
4,DT,HighGrade,DR1,no_salvage,-544.412306842295
5,DT,HighGrade,DR1,optimal,-588.237931945218
0,DT,HighGrade,DR3,F,-0.8901092111340367
1,DT,HighGrade,DR3,G,0.9094026199669706
2,DT,HighGrade,DR3,times,0.9094026199669706
3,DT,HighGrade,DR3,salvage,-514.9367494740898
4,DT,HighGrade,DR3,no_salvage,-494.6500277803028
5,DT,HighGrade,DR3,optimal,-519.7097059488348
0,DT,HighGrade,DR5,F,-0.4540674399636361
1,DT,HighGrade,DR5,G,1.786944354645999
2,DT,HighGrade,DR5,times,1.786944354645999
3,DT,HighGrade,DR5,salvage,-473.3418221060553
4,DT,HighGrade,DR5,no_salvage,-467.6410931972025
5,DT,HighGrade,DR5,optimal,-482.8162674276839
0,LogReg,Heavy,NoDR,F,-0.5886793094013034
1,LogReg,Heavy,NoDR,G,0.874537994078516
2,LogReg,Heavy,NoDR,times,0.874537994078516
3,LogReg,Heavy,NoDR,salvage,-585.8827575903448
4,LogReg,Heavy,NoDR,no_salvage,-535.1827988194218
5,LogReg,Heavy,NoDR,optimal,-587.6852687418357
0,LogReg,Heavy,DR1,F,-0.7678365651004933
1,LogReg,Heavy,DR1,G,0.8323494180632367
2,LogReg,Heavy,DR1,times,0.8323494180632367
3,LogReg,Heavy,DR1,salvage,-530.1280274045897
4,LogReg,Heavy,DR1,no_salvage,-489.86991423437064
5,LogReg,Heavy,DR1,optimal,-532.4343964894857
0,LogReg,Heavy,DR3,F,-0.9245170883726811
1,LogReg,Heavy,DR3,G,0.8590115784383975
2,LogReg,Heavy,DR3,times,0.8590115784383975
3,LogReg,Heavy,DR3,salvage,-457.70601767794545
4,LogReg,Heavy,DR3,no_salvage,-432.9600235222756
5,LogReg,Heavy,DR3,optimal,-461.8794387785607
0,LogReg,Heavy,DR5,F,-0.6939899839314929
1,LogReg,Heavy,DR5,G,1.1848121720541203
2,LogReg,Heavy,DR5,times,1.1848121720541203
3,LogReg,Heavy,DR5,salvage,-416.41664410842856
4,LogReg,Heavy,DR5,no_salvage,-402.3331080186413
5,LogReg,Heavy,DR5,optimal,-423.08217083823075
0,LogReg,NoMgmt,NoDR,F,-0.7993327769078877
1,LogReg,NoMgmt,NoDR,G,0.7835255980047782
2,LogReg,NoMgmt,NoDR,times,0.7835255980047782
3,LogReg,NoMgmt,NoDR,salvage,-664.8179595441277
4,LogReg,NoMgmt,NoDR,no_salvage,-607.1462189085192
5,LogReg,NoMgmt,NoDR,optimal,-666.9146166460447
0,LogReg,NoMgmt,DR1,F,-0.8153223212101692
1,LogReg,NoMgmt,DR1,G,0.9789137496897616
2,LogReg,NoMgmt,DR1,times,0.9789137496897616
3,LogReg,NoMgmt,DR1,salvage,-608.9481739476953
4,LogReg,NoMgmt,DR1,no_salvage,-573.4531423383135
5,LogReg,NoMgmt,DR1,optimal,-613.7974079508749
0,LogReg,NoMgmt,DR3,F,-0.3662332290087978
1,LogReg,NoMgmt,DR3,G,2.26300530106552
2,LogReg,NoMgmt,DR3,times,2.26300530106552
3,LogReg,NoMgmt,DR3,salvage,-535.8608458483186
4,LogReg,NoMgmt,DR3,no_salvage,-531.225650870734
5,LogReg,NoMgmt,DR3,optimal,-549.0783881173662
0,LogReg,NoMgmt,DR5,F,-0.14110623202942124
1,LogReg,NoMgmt,DR5,G,5.4151697868925766
2,LogReg,NoMgmt,DR5,times,1.959880741989949
3,LogReg,NoMgmt,DR5,salvage,-493.8077968487549
4,LogReg,NoMgmt,DR5,no_salvage,-508.45594061054237
5,LogReg,NoMgmt,DR5,optimal,-516.7645406991455
0,LogReg,Moderate,NoDR,F,-0.5127809701237749
1,LogReg,Moderate,NoDR,G,0.9548032239908865
2,LogReg,Moderate,NoDR,times,0.9548032239908865
3,LogReg,Moderate,NoDR,salvage,-606.3882232666531
4,LogReg,Moderate,NoDR,no_salvage,-566.751506391004
5,LogReg,Moderate,NoDR,optimal,-608.2589372839047
0,LogReg,Moderate,DR1,F,-0.7345758085135103
1,LogReg,Moderate,DR1,G,0.9665205076706747
2,LogReg,Moderate,DR1,times,0.9665205076706747
3,LogReg,Moderate,DR1,salvage,-551.4128233151721
4,LogReg,Moderate,DR1,no_salvage,-524.0723602975364
5,LogReg,Moderate,DR1,optimal,-554.7454525030736
0,LogReg,Moderate,DR3,F,-0.5269360726217108
1,LogReg,Moderate,DR3,G,1.5115733948360852
2,LogReg,Moderate,DR3,times,1.5115733948360852
3,LogReg,Moderate,DR3,salvage,-480.0381840507605
4,LogReg,Moderate,DR3,no_salvage,-470.347149238606
5,LogReg,Moderate,DR3,optimal,-487.46615615128053
0,LogReg,Moderate,DR5,F,-0.26492639864469025
1,LogReg,Moderate,DR5,G,2.8723866726441996
2,LogReg,Moderate,DR5,times,2.42672321319036
3,LogReg,Moderate,DR5,salvage,-439.4087109879773
4,LogReg,Moderate,DR5,no_salvage,-441.27318586410956
5,LogReg,Moderate,DR5,optimal,-451.42561000017224
0,LogReg,Light,NoDR,F,-0.5890364448509942
1,LogReg,Light,NoDR,G,1.0458385793763154
2,LogReg,Light,NoDR,times,1.0458385793763154
3,LogReg,Light,NoDR,salvage,-634.553441109148
4,LogReg,Light,NoDR,no_salvage,-592.9195724865214
5,LogReg,Light,NoDR,optimal,-637.277241800213
0,LogReg,Light,DR1,F,-0.6827541086675193
1,LogReg,Light,DR1,G,1.1343801636101414
2,LogReg,Light,DR1,times,1.1343801636101414
3,LogReg,Light,DR1,salvage,-578.373898171558
4,LogReg,Light,DR1,no_salvage,-551.7866394915543
5,LogReg,Light,DR1,optimal,-583.4044694982382
0,LogReg,Light,DR3,F,-0.39040142678518636
1,LogReg,Light,DR3,G,2.0778526224491674
2,LogReg,Light,DR3,times,2.0778526224491674
3,LogReg,Light,DR3,salvage,-505.1310255859632
4,LogReg,Light,DR3,no_salvage,-499.8630458413971
5,LogReg,Light,DR3,optimal,-516.1364043852362
0,LogReg,Light,DR5,F,-0.19403528983795926
1,LogReg,Light,DR5,G,3.9643818954521888
2,LogReg,Light,DR5,times,2.022906022820813
3,LogReg,Light,DR5,salvage,-463.1733271662158
4,LogReg,Light,DR5,no_salvage,-471.58636087703985
5,LogReg,Light,DR5,optimal,-480.35225738069
0,LogReg,Comm-Ind,NoDR,F,-0.3601363549177192
1,LogReg,Comm-Ind,NoDR,G,0.897244411268649
2,LogReg,Comm-Ind,NoDR,times,0.897244411268649
3,LogReg,Comm-Ind,NoDR,salvage,-584.5684058142494
4,LogReg,Comm-Ind,NoDR,no_salvage,-526.1737816455578
5,LogReg,Comm-Ind,NoDR,optimal,-585.8939850998174
0,LogReg,Comm-Ind,DR1,F,-0.4193572814135608
1,LogReg,Comm-Ind,DR1,G,0.9110069003542476
2,LogReg,Comm-Ind,DR1,times,0.9110069003542476
3,LogReg,Comm-Ind,DR1,salvage,-532.805053319103
4,LogReg,Comm-Ind,DR1,no_salvage,-484.0924245251097
